index,build,test_index,SIZE,NTHREADS,y_RX-RATE-PPS,y_RX-RATE-MBPS,y_LOSE-RATE,y_AVG-LAT,y_RX-GOODPUT-GBPS-PKTGEN,y_GOODRATEPC,run_index
151,DPA IPLOOKUP 1K,20,64,190,846459.0,568.8209512,0.9918501029746,0.0,,0.8149897025400032,1
152,DPA IPLOOKUP 1K,20,64,190,846447.0,568.8127688,0.9918556573323,0.0,,0.8144342667700033,2
153,DPA IPLOOKUP 1K,21,128,190,846404.0,1002.1431848,0.98957814660061,0.0,1.0,1.0421853399389946,0
154,DPA IPLOOKUP 1K,21,128,190,846461.0,1002.2106312,0.98960505272046,0.0,1.0,1.0394947279540045,1
155,DPA IPLOOKUP 1K,21,128,190,846847.0,1002.6676552,0.98969468619258,0.0,1.0,1.0305313807419947,2
156,DPA IPLOOKUP 1K,22,256,190,846335.0,1868.7084712,0.98107533772279,0.0,1.0,1.8924662277210014,0
157,DPA IPLOOKUP 1K,22,256,190,846552.0,1869.1865192,0.98107443123741,0.0,1.0,1.8925568762589995,1
158,DPA IPLOOKUP 1K,22,256,190,846528.0,1869.1332904,0.9810756935083,0.0,1.0,1.892430649169996,2
159,DPA IPLOOKUP 1K,23,512,190,846493.0,3602.6735016,0.96328609905325,0.0,3.0,3.6713900946749978,0
160,DPA IPLOOKUP 1K,23,512,190,846607.0,3603.1574728,0.96328285573061,0.0,3.0,3.671714426938999,1
161,DPA IPLOOKUP 1K,23,512,190,846627.0,3603.2446728,0.96328157979317,0.0,3.0,3.6718420206830027,2
162,DPA IPLOOKUP 1K,24,1024,190,846470.0,7069.712164,0.92831109443213,0.0,7.0,7.168890556787,0
163,DPA IPLOOKUP 1K,24,1024,190,846366.0,7068.8460616,0.92830337115487,0.0,7.0,7.169662884512995,1
164,DPA IPLOOKUP 1K,24,1024,190,846778.0,7072.2912616,0.92831064348184,0.0,7.0,7.168935651816,2
165,DPA IPLOOKUP 1K,25,64,254,1127837.0,757.9069832,0.98902285981064,0.0,,1.0977140189360024,0
166,DPA IPLOOKUP 1K,25,64,254,1127939.0,757.9753096,0.98899340888295,0.0,,1.1006591117050046,1
167,DPA IPLOOKUP 1K,25,64,254,1127896.0,757.9462952,0.98911119208873,0.0,,1.0888807911270004,2
168,DPA IPLOOKUP 1K,26,128,254,1127199.0,1334.6043048,0.98596078831289,0.0,1.0,1.4039211687109976,0
169,DPA IPLOOKUP 1K,26,128,254,1127964.0,1335.5091496,0.98612960625664,0.0,1.0,1.3870393743359966,1
