feature_name,feature_value,feature_value_all,feature_value_name,norm_score,score,type,vis
std,"(0.005013, 1.265435)","[0.00501265075057745, 1.265435202025598, 5.671287387417207, 28.329489892528905, 3000.464824061234]",std_1,1.0,11.583944,continuous,scatter
std,"(0.005013, 1.265435)","[0.00501265075057745, 1.265435202025598, 5.671287387417207, 28.329489892528905, 3000.464824061234]",std_1,0.0,11.514957,continuous,bar
std,"(0.005013, 1.265435)","[0.00501265075057745, 1.265435202025598, 5.671287387417207, 28.329489892528905, 3000.464824061234]",std_1,0.965389,11.581556,continuous,box
std,"(0.005013, 1.265435)","[0.00501265075057745, 1.265435202025598, 5.671287387417207, 28.329489892528905, 3000.464824061234]",std_1,0.559435,11.553551,continuous,histogram
std,"(0.005013, 1.265435)","[0.00501265075057745, 1.265435202025598, 5.671287387417207, 28.329489892528905, 3000.464824061234]",std_1,0.097061,11.521653,continuous,heatmap
coeff_var,"(-inf, 0.003253)","[0.0032526775221941202, 0.6636052427753325, 1.7603407242221216, 5.826227477519748, 326.19710867604397]",coeff_var_0,1.0,11.658602,continuous,line
coeff_var,"(-inf, 0.003253)","[0.0032526775221941202, 0.6636052427753325, 1.7603407242221216, 5.826227477519748, 326.19710867604397]",coeff_var_0,0.968721,11.657123,continuous,scatter
coeff_var,"(-inf, 0.003253)","[0.0032526775221941202, 0.6636052427753325, 1.7603407242221216, 5.826227477519748, 326.19710867604397]",coeff_var_0,0.0,11.611321,continuous,bar
coeff_var,"(-inf, 0.003253)","[0.0032526775221941202, 0.6636052427753325, 1.7603407242221216, 5.826227477519748, 326.19710867604397]",coeff_var_0,0.654308,11.642257,continuous,box
coeff_var,"(-inf, 0.003253)","[0.0032526775221941202, 0.6636052427753325, 1.7603407242221216, 5.826227477519748, 326.19710867604397]",coeff_var_0,0.258379,11.623538,continuous,histogram
coeff_var,"(-inf, 0.003253)","[0.0032526775221941202, 0.6636052427753325, 1.7603407242221216, 5.826227477519748, 326.19710867604397]",coeff_var_0,0.046123,11.613502,continuous,heatmap
min,"(-inf, 0.260567)","[0.26056706418914133, 1.817272958832402, 9.322483742621632, 69.52466286197784, 2234.3465037487395]",min_0,1.0,11.688019,continuous,line
min,"(-inf, 0.260567)","[0.26056706418914133, 1.817272958832402, 9.322483742621632, 69.52466286197784, 2234.3465037487395]",min_0,0.906897,11.680125,continuous,scatter
min,"(-inf, 0.260567)","[0.26056706418914133, 1.817272958832402, 9.322483742621632, 69.52466286197784, 2234.3465037487395]",min_0,0.0,11.603233,continuous,bar
min,"(-inf, 0.260567)","[0.26056706418914133, 1.817272958832402, 9.322483742621632, 69.52466286197784, 2234.3465037487395]",min_0,0.314596,11.629906,continuous,box
min,"(-inf, 0.260567)","[0.26056706418914133, 1.817272958832402, 9.322483742621632, 69.52466286197784, 2234.3465037487395]",min_0,0.22554,11.622355,continuous,histogram
min,"(-inf, 0.260567)","[0.26056706418914133, 1.817272958832402, 9.322483742621632, 69.52466286197784, 2234.3465037487395]",min_0,0.188048,11.619176,continuous,heatmap
max,"(1.36951, 5.469374)","[1.3695104261367552, 5.469374160151327, 19.999878525272493, 56.596889114379884, 639.0702552057083, 26214.49350302417]",max_1,0.461914,11.607349,continuous,line
max,"(1.36951, 5.469374)","[1.3695104261367552, 5.469374160151327, 19.999878525272493, 56.596889114379884, 639.0702552057083, 26214.49350302417]",max_1,1.0,11.63218,continuous,scatter
max,"(1.36951, 5.469374)","[1.3695104261367552, 5.469374160151327, 19.999878525272493, 56.596889114379884, 639.0702552057083, 26214.49350302417]",max_1,0.0,11.586033,continuous,bar
max,"(1.36951, 5.469374)","[1.3695104261367552, 5.469374160151327, 19.999878525272493, 56.596889114379884, 639.0702552057083, 26214.49350302417]",max_1,0.68809,11.617786,continuous,box
max,"(1.36951, 5.469374)","[1.3695104261367552, 5.469374160151327, 19.999878525272493, 56.596889114379884, 639.0702552057083, 26214.49350302417]",max_1,0.42932,11.605845,continuous,histogram
max,"(1.36951, 5.469374)","[1.3695104261367552, 5.469374160151327, 19.999878525272493, 56.596889114379884, 639.0702552057083, 26214.49350302417]",max_1,0.085362,11.589973,continuous,heatmap
range,"(1.884129, 6.755744)","[0.0010489814216271044, 1.884129064832964, 6.755743844124582, 34.00012734936129, 164.90136858540188, 27356.06338867178]",range_2,0.564721,11.600051,continuous,line
range,"(1.884129, 6.755744)","[0.0010489814216271044, 1.884129064832964, 6.755743844124582, 34.00012734936129, 164.90136858540188, 27356.06338867178]",range_2,1.0,11.621399,continuous,scatter
